Fase,ID,Test,Status,Prioritat,Severitat,Notes,Data
1.1,AUTH-01,Registre amb email + password,PENDING,Alta,Critical,,
1.1,AUTH-02,Registre amb Spotify OAuth,PENDING,Alta,Critical,,
1.1,AUTH-03,Login amb email + password,PENDING,Alta,Critical,,
1.1,AUTH-04,Login amb Spotify OAuth,PENDING,Alta,Critical,,
1.1,AUTH-05,Auto-connexió amb mateix email,PENDING,Alta,Medium,,
1.1,AUTH-06,Verificació obligatòria d'email,PENDING,Alta,High,,
1.1,AUTH-07,Reset de password,PENDING,Alta,Medium,,
1.1,AUTH-08,Logout correcte,PENDING,Alta,High,,
1.1,AUTH-09,Perfil d'usuari edició,PENDING,Alta,Low,,
1.1,AUTH-10,Reconnexió Spotify caducat,PENDING,Alta,High,,
1.1,AUTH-11,Email ja existent mostra error,PENDING,Alta,Medium,,
1.1,AUTH-12,Credencials incorrectes mostra error,PENDING,Alta,Medium,,
1.1,AUTH-13,Token Spotify expirat gestió,PENDING,Alta,High,,
1.2,PARTY-01,Crear nova festa com superuser,PENDING,Alta,Critical,,
1.2,PARTY-02,Editar festa existent,PENDING,Alta,High,,
1.2,PARTY-03,Eliminar festa,PENDING,Alta,Medium,,
1.2,PARTY-04,Seleccionar festa activa,PENDING,Alta,Critical,,
1.2,PARTY-05,Canviar entre festes,PENDING,Alta,High,,
1.2,PARTY-06,Configurar vots gratuïts,PENDING,Alta,High,,
1.2,PARTY-07,Configurar coins gratuïts,PENDING,Alta,High,,
1.2,PARTY-08,Configurar cost song request,PENDING,Alta,Medium,,
1.2,PARTY-09,Assignar playlist de Spotify,PASS,Alta,Critical,PartySettingsForm amb spotify_playlist field,2026-03-18
1.2,PARTY-10,Sincronitzar playlist afegir noves,PASS,Alta,High,process_playlist_songs sincronitza: afegeix noves,2026-03-18
1.2,PARTY-11,Sincronitzar playlist eliminar no existents,PASS,Alta,High,process_playlist_songs: elimina removed_spotify_ids,2026-03-18
1.2,PARTY-12,Eliminar playlist assignada,PENDING,Alta,Medium,,
1.2,PARTY-13,Festa sense playlist funciona,PENDING,Alta,Medium,,
